Title,Director,Format,Year,Run Time,Color/B&W,Sound,Aspect Ratio,Spine,Country of Origin,Language,Notes
Every-Night Dreams,"Naruse, Mikio",DVD,1933,65,B&W,Silent,1.33:1,Eclipse Series 26,Japan,Japanese,Inherited from Chris Jacobs
"Executioner, The","Berlanga, Luis García",Blu-Ray,1963,92,B&W,Mono,1.85:1,840,"Spain, Italy",Spanish,
F For Fake,"Welles, Orson",Blu-Ray,1975,88,Color,Mono,1.66:1,288,"France, Iran, West Germany","English, French, Spanish",
Fanny & Alexander - Television Version,"Bergman, Ingmar",Blu-Ray,1982,320,Color,Mono,1.66:1,261,"Sweden, France, West Germany","Swedish, German",Fanny & Alexander Box Set
Fanny & Alexander - Theatrical Version,"Bergman, Ingmar",Blu-Ray,1982,188,Color,Mono,1.66:1,261,"Sweden, France, West Germany","Swedish, German",Fanny & Alexander Box Set
"Flunky, Word Hard","Naruse, Mikio",DVD,1931,28,B&W,Silent,1.33:1,Eclipse Series 26,Japan,Japanese,Inherited from Chris Jacobs
Foreign Correspondent,"Hitchcock, Alfred",Blu-Ray,1940,120,B&W,Mono,1.37:1,696,US,English,
"Friends of Eddie Coyle, The","Yates, Peter",DVD,1973,102,Color,Mono,1.85:1,475,US,English,
"Game, The","Fincher, David",Blu-Ray,1997,128,Color,5.1 Surround,2.40:1,627,US,English,
"Great Dictator, The","Chaplin, Charlie",Blu-Ray,1940,125,B&W,Mono,1.33:1,565,US,English,
High and Low,"Kurosawa, Akira",Blu-Ray,1963,143,Both,4.0 Surround,2.35:1,24,Japan,Japanese,
Hiroshima mon amour,"Resnais, Alain",Blu-Ray,1959,90,B&W,Mono,1.37:1,196,France,French,
His Girl Friday,"Hawks, Howard",Blu-Ray,1940,92,B&W,Mono,1.33:1,849,US,English,
"Hit, The","Frears, Stephen",DVD,1984,98,Color,Mono,1.78:1,469,UK,"English, Spanish",
House,"Obayashi, Nobuhiko",Blu-Ray,1977,88,Color,Mono,1.33:1,539,Japan,Japanese,Inherited from Chris Jacobs
I Am Waiting,"Kurahara, Koreyoshi",DVD,1957,91,B&W,Mono,1.33:1,Eclipse Series 17,Japan,Japanese,Inherited from Chris Jacobs
Investigation of a Citizen Above Suspicion,"Petri, Elio",Dual-Format,1970,115,Color,Mono,1.85:1,682,Italy,Italian,
Japanese Girls at the Harbor,"Shimizu, Hiroshi",DVD,1933,71,B&W,Silent,1.33:1,Eclipse Series 15,Japan,Japanese,Inherited from Chris Jacobs
Jules and Jim,"Truffaut, François",Dual-Format,1962,106,B&W,Mono,2.35:1,281,France,"French, German",
Kiss Me Deadly,"Aldrich, Robert",Blu-Ray,1955,106,B&W,Mono,1.66:1,568,US,English,
"Lady Vanishes, The","Hitchcock, Alfred",Blu-Ray,1938,96,B&W,Mono,1.33:1,3,UK,"English, German, French, Italian",
L'argent,"Bresson, Robert",Blu-Ray,1983,84,Color,Mono,1.66:1,886,France,French,
